id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
33,5.32003,-6.2210255,3.1129994,-4.030809,-7.584736,4.2304926,2.1600444,-1.705795,-4.9090695,-7.724378,-11.519663,1.5714116,-8.350879,17.227406,-3.0338929,-22.23418,13.760503,2.5341802,-7.6031756,7.364434,-4.5131383,-5.6565256,6.299638,6.7947235,9.205891,-14.810174,-9.221554,-3.0727448,-2.1845777,10.495385,14.85264,-12.701039,-0.9733269,-2.3082116,-9.117355,-5.636294,-5.9424644,9.350684,11.750031,-2.8669558,1.696274,-3.4118955,-0.13651747,25.061213,6.588425,-8.034899,-4.8887863,-1.3391201,3.534124,7.5687327,10.4444,-17.745615,-12.493135,14.461479,13.285709,8.593574,1.216717,10.752363,-4.047146,2.658359,11.520552,-12.066947,-7.95554,-3.7748957,-19.792622,-6.6013,3.8505352,11.0645895,1.9838253,-0.4519128,-9.407397,-0.3056917,-14.611813,-12.798107,7.779159,-7.8048477,-11.177986,8.285767,4.1327477,-8.119403,-13.409054,1.3653471,-5.337058,-5.936343,10.355599,13.8849325,4.896354,-10.074955,-2.4193153,-5.9383264,2.5689437,-8.391004,-3.7552502,-1.897001,-9.989449,10.897251,-6.9212403,14.718536,10.148397
36,-5.9876366,4.318028,7.999518,-0.6375677,-4.1022673,-0.20664126,5.790074,0.6360895,-1.1655371,1.4765015,-12.323221,17.26439,-18.085144,-3.6940422,-5.1564436,-22.49873,24.53501,-2.8695295,-3.733599,21.177193,4.1442347,-6.623382,14.771329,-11.115772,18.48456,-11.243676,-7.4777365,-9.993891,-20.118423,-1.7404835,-3.8288198,-3.3304958,0.016424954,11.34239,-5.915633,-5.586332,-9.681314,-1.9393088,-13.102392,-10.881309,10.774867,6.0503254,0.50906986,0.95798385,-13.574954,-6.3949175,-5.6912794,0.2630815,10.533869,-7.6906996,20.088417,-22.254002,-8.419405,15.590378,1.5171281,9.753342,-5.48111,-10.092066,-6.6107016,1.6306529,19.679543,-15.579951,-20.473362,-7.1763167,-21.44297,12.155496,-0.13889603,-2.0878053,6.1210275,-7.117885,1.1669084,-2.4824848,-23.850191,-13.775252,25.186184,-0.5367187,16.812016,-3.1391387,8.594724,-12.27005,-0.31484526,5.5063257,5.2656198,-0.7415279,15.790144,7.7265863,6.5632205,1.8806993,-23.22818,-20.811775,-4.9741426,-14.003029,-6.7930646,-3.2390053,-16.321196,9.676984,-8.585371,7.5051174,-9.863653
39,-14.276153,-10.8951435,-10.714395,-3.1173608,-13.187275,-15.61343,-29.597006,-18.145136,-8.455587,3.7594,6.137651,-10.066945,11.132622,-14.472238,5.328664,-21.745293,-23.501135,1.7613533,10.486775,-21.656572,-3.859757,-9.531335,3.56325,8.101311,12.548153,4.9950776,17.085613,10.645424,-26.129038,-28.60726,-16.446955,12.60848,1.3109717,-16.283634,21.587513,-16.822,-4.3564334,-12.909125,-0.95162094,3.9743905,-3.145644,-8.864943,4.23819,9.849948,6.1279764,4.63316,7.68394,7.3062463,14.243953,-30.730873,-7.779452,14.502573,27.448425,-13.297858,18.972109,-19.14575,0.85239434,-15.398561,24.521915,4.6620655,-31.29608,10.763819,24.329556,11.173337,29.584423,-13.208152,2.8028002,-17.324703,-13.828339,1.508629,2.8867412,-1.1837146,-18.16574,9.558028,1.7788824,30.827614,8.338933,-18.858196,14.922327,6.3871746,18.25081,6.2428966,10.7441435,5.2977133,-10.267544,-6.1112556,-19.964058,-7.464433,-24.644873,-6.719665,-49.950558,20.314205,-3.8734183,5.444177,-10.664731,8.300632,18.570415,-25.874767,-0.35646278
41,-20.385294,13.670661,-21.370518,13.389495,13.083419,-8.346533,-7.8089986,12.111975,22.190666,22.473137,36.824364,-5.0399323,25.28324,0.13382366,17.447517,-8.91643,-29.802786,21.117498,-3.303325,-31.159828,12.88066,-19.384968,2.2684388,-0.4375024,-11.914645,12.604946,19.1399,-15.321536,-9.724159,-28.26958,-5.2081213,13.429493,-22.407852,-14.648878,3.2503974,4.5460215,-7.7171884,-27.35217,-14.663668,-5.964062,-22.683964,-16.78016,-17.469511,-0.8815116,12.044282,21.856218,36.46517,1.9139037,9.914175,-25.211433,-3.1903818,31.735968,11.000072,-5.6542773,8.175531,-25.288853,0.12089324,-15.037029,10.992529,-1.733995,-38.465675,10.793289,15.376566,25.35795,5.1108766,-20.5169,-13.520276,-33.794334,-8.713163,11.212463,-27.505417,4.729003,-20.655102,12.137685,-9.902195,6.9549994,0.9396242,-32.42912,14.846558,23.737398,22.136063,-22.550766,-8.2555895,13.160009,-16.761122,-3.5778518,-6.5000753,-32.206882,-14.928992,-1.128037,-47.8028,24.733341,2.8888521,4.5760107,1.3602833,-7.8891253,11.464347,-32.43185,-8.584977
44,-15.94876,7.3193045,-27.288052,-0.39574504,2.1256485,-16.68802,-25.141838,-19.400063,-8.88148,10.727776,23.102715,-5.600045,15.836739,-6.036479,25.126066,-8.82462,-32.1967,10.14958,-2.236901,-34.438698,6.804637,-3.8612084,3.0296998,11.553706,-10.066044,18.811092,25.852291,-6.703726,-14.821822,-28.561415,-9.35178,19.196712,-5.920818,-16.353327,24.046328,-8.667116,4.623709,-24.646418,-7.3794765,-0.16394442,-14.231409,-7.9207244,-12.544469,4.740535,16.14657,20.787014,18.296154,1.5731236,10.186438,-31.461033,-7.7145767,32.89052,42.327515,-9.883903,-8.3268,-30.60182,5.372178,-14.469242,24.2901,-3.2818809,-40.89598,7.861871,26.447992,20.176727,20.33364,-19.14054,-14.581036,-30.816273,-18.006048,3.631979,-16.048239,-4.930438,-18.923813,-0.11201468,-11.612342,26.35822,0.2209365,-31.621492,20.722925,32.944283,21.451763,-13.997742,5.579954,0.8365029,-23.975853,-3.0849237,-20.446852,-30.719263,-23.605724,-2.6907203,-52.070457,36.885387,5.021795,13.888212,1.8262534,1.8242708,7.056259,-31.642399,-8.644234
46,-30.44669,25.784744,-20.125128,8.177234,14.065446,-1.9735067,5.61117,5.5769415,12.720552,26.155588,28.74931,7.669918,-6.247813,-2.4247487,26.215023,-9.292382,-21.874084,23.322485,-10.265743,-31.285776,29.558067,-16.60678,11.253208,0.46996018,-19.121117,15.960367,30.842602,-17.684559,-22.64582,-31.744574,-4.178954,24.201433,-22.081404,-9.91658,4.3405457,1.2320217,4.959023,-28.479837,-25.382338,-0.014555097,-24.185442,-22.929155,-19.444138,-3.550633,6.397172,18.369665,40.436745,-2.2312958,13.308075,-28.62736,2.4372067,14.792184,17.958649,-5.950716,-11.672667,-31.773808,-7.72744,-12.212575,12.941875,-5.649309,-29.124365,-1.1230732,9.135754,14.3924465,-8.91258,-12.015093,-11.419128,-39.516457,-9.227048,6.805128,-36.094368,0.6410929,-30.327908,-2.5032835,-5.6704473,3.3187609,4.586548,-36.362904,28.458517,17.37036,24.203156,-10.547182,-1.2096462,3.8295746,-16.18689,-2.8572416,-2.4789019,-37.98289,-21.324211,-13.241446,-47.688694,22.690498,4.3388405,3.6580987,12.343848,-7.66885,-1.644042,-23.076313,-21.483858
47,-15.014214,22.304523,-26.863386,29.105377,4.9768505,-14.156553,7.28151,10.518404,17.945961,18.749184,28.426643,-8.956987,24.259768,-8.768152,20.688938,6.8561983,-27.590363,-7.1991334,-42.348934,-35.7516,20.859953,-6.904721,-15.396696,11.22291,-23.971922,19.62549,14.800158,-31.578556,-3.8422415,4.6417956,8.6300335,17.703625,1.3499069,4.8506284,-6.5144424,-4.027216,0.8453512,-10.818562,-16.748894,5.614032,-21.607794,-7.8501973,-24.10751,-12.865239,1.7414758,44.92157,23.603249,-31.747412,-17.778444,-22.598833,-2.8606153,26.537224,9.567402,-0.715419,9.627967,-21.15648,-9.672042,-15.373458,-6.0790515,14.888434,-11.8340435,12.572433,1.0147831,21.84288,11.376257,-3.339406,-34.401665,-32.4506,2.554535,2.0750766,-39.274456,4.267226,-8.75486,2.0574794,-17.556614,-4.136948,-1.7681472,-44.13839,17.4805,28.967087,24.02673,-39.81934,-4.339329,-5.903844,-5.4920793,7.701583,-9.023206,-33.633076,-17.651806,-22.820091,-6.451354,2.0415356,21.550343,3.514381,25.268555,-34.38917,1.6999791,-22.21706,-25.385275
51,-14.401584,-16.273598,1.8555454,1.2386837,-9.714493,-10.293475,-23.0521,-5.3848314,-1.1679872,6.973304,-2.6313047,-9.027194,6.550478,-13.918583,-2.471751,-13.293524,-19.611883,6.2806063,18.528017,-16.645916,-11.331978,-11.0574665,5.8070297,2.4982924,14.528484,3.3191266,16.178457,26.076683,-18.876469,-29.934258,-19.05377,7.141965,-5.494349,-17.952555,15.082838,-10.192323,-6.9477386,-14.442544,1.1626318,2.4183989,-1.9408357,-7.1910286,12.141089,9.027977,6.6265135,0.69931436,10.892128,9.688519,14.476191,-28.163992,-7.9693093,8.483354,15.922579,-19.138712,21.721022,-16.201296,-9.334077,-15.146198,26.411549,1.5921136,-34.224983,15.433029,21.145199,7.662973,25.593548,-14.320765,14.818406,-12.304584,-12.101746,-2.058168,14.81893,6.540092,-11.720879,27.977541,-0.7834497,21.582365,7.3080335,-7.8953977,8.913021,-5.9647446,17.573893,18.312737,3.8069043,25.718904,-12.983412,-9.066437,-16.761353,3.0516548,-12.330814,2.977666,-47.896847,7.613641,-7.304289,-0.40971407,-15.391151,4.2488046,30.781752,-22.04901,6.5404673
52,7.7641115,-5.790993,-1.3727391,-5.163242,-8.16313,2.0645454,1.104553,0.85970557,-2.6362262,-8.694967,-10.232299,9.79902,-5.56522,28.793655,2.744749,-30.62175,19.69363,7.458701,-0.46999043,15.802565,-6.2410975,-7.5245447,3.9044838,-4.0293827,0.10941291,-20.749977,-7.996773,-3.4818578,-5.035489,-3.8622046,7.347602,-16.53692,-3.5624626,-9.977526,-16.376568,-5.3582883,-4.9419575,0.48507518,6.949719,-17.268919,-10.462667,-2.931679,2.242878,25.356083,8.2951145,-12.9518585,-5.239161,15.998308,21.185154,17.4568,9.633595,-22.958927,-13.099524,23.361143,13.313382,5.968988,5.692345,10.134823,1.3654387,1.4320178,8.19709,-15.350223,-8.244393,0.3516503,-20.72774,-8.692884,5.516995,7.0299363,-3.076897,-2.4282224,-17.247147,3.3492427,-21.551132,-6.9445963,11.716168,-4.193757,-13.0157385,12.047236,8.105443,-10.705053,-10.374396,1.5286739,-8.153283,1.7871095,12.72088,14.784973,13.970236,-15.300304,-5.277581,3.6668072,-4.4672003,-1.6578965,-4.2965407,1.2199485,-10.828057,17.38702,-11.92417,9.455048,20.4818
53,-4.447716,25.143112,8.2056265,15.476466,25.037266,13.620979,18.379772,20.76307,17.663527,24.74943,12.227191,7.012731,-13.444881,-4.024279,-0.24113467,-17.641035,0.37183625,9.472609,-11.501819,-2.5936785,-3.6184504,-2.1166682,-8.940002,-11.109305,-2.4506464,-3.7929144,9.694534,-18.579899,-8.238924,-17.519194,-6.1784744,-5.307976,-12.399822,-10.119342,-14.227942,28.976406,2.8863583,-5.6305757,-8.992524,-16.616459,-10.310178,-2.2615228,5.3429174,-0.13858876,0.10759342,0.14312074,22.263329,-5.56714,1.0632129,-16.674782,-5.18854,-0.029565454,-14.758911,3.944105,7.328461,4.749075,-30.423977,-21.097404,-4.770266,8.420458,-11.094844,11.846542,-15.020486,19.079441,-17.424732,-4.0365868,3.7123919,-16.574226,-10.082487,-8.34847,-25.099022,47.62574,-24.568394,8.336134,5.9289594,-5.0519276,-6.2719927,-15.36969,8.593736,-0.9752389,12.004483,-9.574839,-19.917213,17.784336,6.406683,9.838518,2.1959012,-25.989014,-17.330025,-19.8289,-14.290614,-3.171555,7.8207283,6.9483232,6.226184,-13.081156,1.1203624,-8.847574,-0.13415496
